Day,Currency,Clicks,Impression,CTR,Avg CPC,Costs,% in the top position, % imp/ in the top position,Conversions,View-through conversions,Cost/Conversions,Conversion Rate
2022-09-05,USD,1 349,71 866,"1,88%","0,03","41,80",0,0,"54,00",0,"0,77","4,00%"
2022-09-20,USD,4 410,119 313,"3,70%","0,01","50,55",0,0,"176,00",0,"0,29","3,99%"
2022-09-10,USD,370,13 021,"2,84%","0,01","4,25",0,0,"28,00",0,"0,15","7,57%"
2022-09-16,USD,5 133,146 896,"3,49%","0,01","58,42",0,0,"218,00",0,"0,27","4,25%"
2022-09-18,USD,3 845,119 948,"3,21%","0,01","45,42",0,0,"177,00",0,"0,26","4,60%"
2022-09-03,USD,581,33 054,"1,76%","0,09","53,87",0,0,"32,00",0,"1,68","5,51%"
2022-09-30,USD,1 084,41 806,"2,59%","0,01","13,93",0,0,"66,00",0,"0,21","6,09%"
2022-09-22,USD,598,27 923,"2,14%","0,01","8,03",0,0,"42,00",0,"0,19","7,02%"
2022-09-08,USD,2 089,57 818,"3,61%","0,01","22,92",0,0,"113,00",0,"0,20","5,41%"
2022-09-19,USD,4 172,126 715,"3,29%","0,01","49,65",0,0,"166,00",0,"0,30","3,98%"
2022-09-24,USD,430,41 502,"1,04%","0,02","8,11",0,0,"39,00",0,"0,21","9,07%"
2022-09-02,USD,44,5 184,"0,85%","1,25","55,17",0,0,"2,00",0,"27,58","3,51%"
2022-09-09,USD,53,2 694,"1,97%","0,01","0,71",0,0,"4,00",0,"0,18","7,55%"
2022-09-11,USD,95,3 281,"2,90%","0,01","1,23",0,0,"7,00",0,"0,18","7,37%"
2022-09-13,USD,4 763,112 878,"4,22%","0,01","53,47",0,0,"199,00",0,"0,27","4,18%"
2022-09-27,USD,3 980,124 740,"3,19%","0,01","45,76",0,0,"158,00",0,"0,29","3,97%"
2022-09-28,USD,2 006,131 563,"1,52%","0,02","32,43",0,0,"110,00",0,"0,29","5,48%"
2022-09-07,USD,3 364,81 354,"4,14%","0,01","38,74",0,0,"124,00",0,"0,31","3,69%"
2022-09-21,USD,147,8 386,"1,75%","0,01","2,14",0,0,"14,00",0,"0,15","9,52%"
2022-09-15,USD,6 692,180 363,"3,71%","0,01","76,03",0,0,"316,00",0,"0,24","4,72%"
2022-09-14,USD,7 458,186 960,"3,99%","0,01","84,72",0,0,"258,00",0,"0,33","3,46%"
2022-09-17,USD,4 826,119 163,"4,05%","0,01","51,34",0,0,"197,00",0,"0,26","4,08%"
2022-09-04,USD,1 248,65 584,"1,90%","0,03","40,52",0,0,"37,00",0,"1,10","2,96%"
2022-09-06,USD,2 423,86 771,"2,79%","0,02","38,65",0,0,"82,00",0,"0,47","3,38%"
2022-09-25,USD,7 246,226 300,"3,20%","0,01","83,74",0,0,"294,00",0,"0,28","4,06%"
2022-09-12,USD,880,23 685,"3,72%","0,01","10,06",0,0,"51,00",0,"0,20","5,80%"
2022-09-23,USD,285,16 643,"1,71%","0,01","3,96",0,0,"19,00",0,"0,21","6,67%"
2022-09-01,USD,115,17 683,"0,65%","0,95","109,58",0,0,"18,00",0,"6,09","2,88%"
2022-09-26,USD,7 227,222 653,"3,25%","0,01","84,61",0,0,"313,00",0,"0,27","4,33%"
2022-09-29,USD,4 668,168 597,"2,77%","0,01","54,92",0,0,"202,00",0,"0,27","4,33%"
